"","title","state","rating","multiple_locations","description","year","word_count","year_bin","ai_info","gpt_41_primary_sub_genre","gpt_41_secondary_sub_genre","gpt_41_tertiary_sub_genre","gpt_41_protagonist_type","gpt_41_antagonist_type","gpt_41_protagonist_gender","gpt_41_antagonist_gender","gpt_41_protagonist_age","gpt_41_antagonist_age","gpt_41_setting_time","gpt_41_setting_location"
"1","Ax 'Em","Maryland",1.3,FALSE,"A weekend retreat at a remote cabin in the woods for a group of childhood pals turns into a terrifying fight for survival, as a former friend whose family was killed years earlier comes along looking for revenge.",1992,38,"x90_00","The movie is ""Ax 'Em"" filmed in 1992. This is the IMDb summary: A weekend retreat at a remote cabin in the woods for a group of childhood pals turns into a terrifying fight for survival, as a former friend whose family was killed years earlier comes along looking for revenge.","backwoods horror","slasher","phobia","human","human","male","male","18-30","18-30","present","forest"
"2","Behind the Mask: The Rise of Leslie Vernon","Maryland",6.7,FALSE,"The next great psycho horror slasher has given a documentary crew exclusive access to his life as he plans his reign of terror over the sleepy town of Glen Echo.",2006,30,"x00_10","The movie is ""Behind the Mask: The Rise of Leslie Vernon"" filmed in 2006. This is the IMDb summary: The next great psycho horror slasher has given a documentary crew exclusive access to his life as he plans his reign of terror over the sleepy town of Glen Echo.","parody horror","slasher","found footage","human","human","female","male","18-30","18-30","present","small town"
"3","Believer","Maryland",4.6,FALSE,"A struggling writer finds herself at the center of the story she is covering when brutally attacked by a notorious cult leader and mass murderer, a man who exerts an inexplicable control over his followers.",2024,35,"over_20","The movie is ""Believer"" filmed in 2024. This is the IMDb summary: A struggling writer finds herself at the center of the story she is covering when brutally attacked by a notorious cult leader and mass murderer, a man who exerts an inexplicable control over his followers.","madness","slasher","folk horror","human","human","female","male","30-50","30-50","present","big city"
"4","Blair Witch","Maryland",5,FALSE,"After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.",2016,32,"x10_20","The movie is ""Blair Witch"" filmed in 2016. This is the IMDb summary: After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.","folk horror","found footage","witches","human","non-human entity","male","androgynous","18-30","unknown","present","forest"
"5","Blood Massacre","Maryland",5,FALSE,"A group of deranged Vietnam vets start a robbery and murder spree at a local store and breaking into an isolated house they take a family hostage. As they terrorize the captive family, they don't realize they are soon in for a surprise.",1987,43,"x80_90","The movie is ""Blood Massacre"" filmed in 1987. This is the IMDb summary: A group of deranged Vietnam vets start a robbery and murder spree at a local store and breaking into an isolated house they take a family hostage. As they terrorize the captive family, they don't realize they are soon in for a surprise.","home invasion","madness","splatter","human","human","female","male","18-30","30-50","present","house"
"6","Book of Lore","Maryland",5.9,FALSE,"When Rick's girlfriend is found brutally murdered, he and his friends must band together to solve the mystery. Strange circumstances lead them to a bizarre encyclopedia of local murders. As the bodies pile, Rick must come to terms with his town's unspeakable past",2007,43,"x00_10","The movie is ""Book of Lore"" filmed in 2007. This is the IMDb summary: When Rick's girlfriend is found brutally murdered, he and his friends must band together to solve the mystery. Strange circumstances lead them to a bizarre encyclopedia of local murders. As the bodies pile, Rick must come to terms with his town's unspeakable past","slasher","madness","classic and mythological","human","human","male","unknown","18-30","unknown","present","small town"
"7","Book of Shadows: Blair Witch 2","Maryland",4,FALSE,"Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened.",2000,29,"x00_10","The movie is ""Book of Shadows: Blair Witch 2"" filmed in 2000. This is the IMDb summary: Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened.","found footage","folk horror","phobia","human","non-human entity","male","androgynous","18-30","unknown","present","forest"
"8","Butterfly Kisses","Maryland",5.8,FALSE,"A filmmaker discovers a box of video tapes depicting two students' disturbing film project featuring a local horror legend, The Peeping Tom. As he sets out to prove this story is real and release it as a work of his own, he loses himself and the film crew following him into his project.",2018,53,"x10_20","The movie is ""Butterfly Kisses"" filmed in 2018. This is the IMDb summary: A filmmaker discovers a box of video tapes depicting two students' disturbing film project featuring a local horror legend, The Peeping Tom. As he sets out to prove this story is real and release it as a work of his own, he loses himself and the film crew following him into his project.","found footage","classic and mythological","madness","human","non-human entity","male","androgynous","30-50","unknown","present","small town"
"9","Call Girl of Cthulhu","Maryland",4.6,FALSE,"When a virginal artist falls in love with a call girl, she turns out to be the chosen bride of the alien god Cthulhu. To save her, he must stop an ancient cult from summoning their god and destroying mankind.",2014,40,"x10_20","The movie is ""Call Girl of Cthulhu"" filmed in 2014. This is the IMDb summary: When a virginal artist falls in love with a call girl, she turns out to be the chosen bride of the alien god Cthulhu. To save her, he must stop an ancient cult from summoning their god and destroying mankind.","Lovecraftian/Cosmic horror","folk horror","madness","human","non-human entity","male","androgynous","18-30","unknown","present","big city"
"10","Camp Killer","Maryland",4.4,FALSE,"The sheriff of a town plagued by an unstoppable killer Meets up with his nemesis one last time as a pair of survivors complicate matters for the worse. Who will be left standing and what will remain of their sanity?",2016,40,"x10_20","The movie is ""Camp Killer"" filmed in 2016. This is the IMDb summary: The sheriff of a town plagued by an unstoppable killer Meets up with his nemesis one last time as a pair of survivors complicate matters for the worse. Who will be left standing and what will remain of their sanity?","slasher","madness","backwoods horror","human","human","male","male","30-50","30-50","present","rural"
"11","Chainsaw Sally","Maryland",4.6,FALSE,"A young woman, traumatized after witnessing the murder of her parents as a young girl, grows up to be a serial killer whom gets her inspiration for killing from horror films.",2004,31,"x00_10","The movie is ""Chainsaw Sally"" filmed in 2004. This is the IMDb summary: A young woman, traumatized after witnessing the murder of her parents as a young girl, grows up to be a serial killer whom gets her inspiration for killing from horror films.","slasher","madness","phobia","human","human","female","female","30-50","30-50","present","small town"
"12","Danika","Maryland",5.5,FALSE,"Danika's fears for her children are manifested in premonitions of death and disaster.",2006,13,"x00_10","The movie is ""Danika"" filmed in 2006. This is the IMDb summary: Danika's fears for her children are manifested in premonitions of death and disaster.","madness","phobia","supernatural power","human","unknown","female","unknown","30-50","unknown","present","house"
"13","Dead Hunt","Maryland",5.1,FALSE,"When a woman trying to outrun her past ends up trapped between a zombie outbreak and warring militia groups, she must fight to find her way back home.",2007,28,"x00_10","The movie is ""Dead Hunt"" filmed in 2007. This is the IMDb summary: When a woman trying to outrun her past ends up trapped between a zombie outbreak and warring militia groups, she must fight to find her way back home.","zombies","backwoods horror","phobia","human","non-human entity","female","androgynous","18-30","unknown","present","rural"
"14","Don't Let the Devil In","Maryland",4.5,FALSE,"After suffering a miscarriage, Newlyweds John and Samantha Harris relocate from New York City to a small Appalachian town where they become wrapped up in a nightmarish tapestry of evil.",2016,30,"x10_20","The movie is ""Don't Let the Devil In"" filmed in 2016. This is the IMDb summary: After suffering a miscarriage, Newlyweds John and Samantha Harris relocate from New York City to a small Appalachian town where they become wrapped up in a nightmarish tapestry of evil.","folk horror","madness","devils, demons, and hell","human","non-human entity","male","androgynous","30-50","unknown","present","small town"
"15","Fear of Clowns","Maryland",3.2,FALSE,"An artist with coulrophobia (""fear of clowns"") is stalked by a murderous clown resembling one of the ones she paints.",2004,20,"x00_10","The movie is ""Fear of Clowns"" filmed in 2004. This is the IMDb summary: An artist with coulrophobia (""fear of clowns"") is stalked by a murderous clown resembling one of the ones she paints.","slasher","phobia","madness","human","human","female","male","18-30","30-50","present","small town"
